Id,Time[ns],0:SPI: MOSI data
140,1675504220.00,10A
141,1681120580.00,18E
142,1686736220.00,1A0
143,1692352360.00,1A0
144,1697968300.00,0E6
145,1703584440.00,100
146,1709199260.00,100
147,1714815360.00,122
148,1720430520.00,122
149,1726046480.00,0E7
150,1731662360.00,144
151,1737278560.00,144
152,1742894440.00,0E8
153,1748511420.00,10D
154,1754127100.00,191
155,1759742700.00,1A0
156,1765358360.00,1A0
157,1770974120.00,10F
158,1776590220.00,193
159,1782205700.00,1A0
160,1787820320.00,1A0
161,1793435900.00,109
162,1799052080.00,18D
163,1804668320.00,1A0
164,1810284160.00,1A0
165,1815900120.00,10B
166,1821516260.00,18F
167,1827133420.00,1A0
168,1832750060.00,1A0
169,1838367200.00,0EB
170,1843983660.00,100
171,1849598960.00,100
172,1855215360.00,1E4
173,1860831860.00,1E4
174,1866447660.00,144
175,1872063540.00,100
176,1877680320.00,140
177,1883296240.00,0ED
178,1888913360.00,1FF
179,1894529120.00,1F5
180,1900145180.00,147
181,1905761220.00,16F
182,1911377760.00,10B
183,1916993640.00,1A1
184,1922609580.00,1AB
185,1928224860.00,1FF
186,1933840760.00,1FF
187,1939455840.00,1BA
188,1945071860.00,11A
189,1950687440.00,1B0
190,1956303400.00,1F6
191,1961918800.00,174
192,1967534620.00,15F
193,1973149900.00,1FF
194,1978764980.00,0EF
195,1984380780.00,108
196,1989997080.00,108
197,1995612180.00,108
198,2001227980.00,140
199,2006843520.00,13F
200,2012459480.00,164
201,2018074740.00,0FF
202,2023691460.00,177
203,2029307180.00,101
204,2034922640.00,100
205,2040537800.00,100
206,2046152920.00,100
207,2051768820.00,0FF
208,2057384980.00,177
209,2063001380.00,101
210,2068616620.00,100
211,2074232020.00,100
212,2079847820.00,113
213,2085464300.00,0E6
214,2091080820.00,116
215,2096697740.00,17C
216,2102313800.00,0E8
217,2107929460.00,100
218,2113545400.00,10E
219,2119160780.00,0FF
220,2124777260.00,177
221,2130392720.00,101
222,2136007780.00,100
223,2141622760.00,100
224,2147237500.00,100
225,2152853060.00,011



226,2936699120.00,0FF
227,2942315700.00,177
228,2947932000.00,101
229,2953547460.00,100
230,2959162580.00,100
231,2964778220.00,113
232,2970394620.00,0E8
233,2976010460.00,100
234,2981626220.00,10C



235,3765519220.00,0E8
236,3771135600.00,100
237,3776751440.00,100
238,3782367860.00,0FF
239,3787985040.00,177
240,3793602820.00,101
241,3799220240.00,100
242,3804836820.00,100
243,3810453200.00,100
244,3816069660.00,029
245,3821687400.00,035
246,3827304080.00,110
