Id,Time[ns],0:SPI: MOSI data
1,894722080.00,0FF
2,900342580.00,177
3,905961400.00,101
4,911578900.00,100
5,917196700.00,100
6,922814720.00,113
7,928432540.00,0EF
8,934050720.00,108
9,939668960.00,0FF
10,945287600.00,177
11,950904720.00,101
12,956521700.00,100
13,962138960.00,100
14,967756960.00,110
15,973375080.00,0C0
16,978994440.00,14F
17,984612000.00,100
18,990229900.00,0C1
19,995847700.00,110
20,1001466320.00,102
21,1007084200.00,0C2
22,1012703040.00,107
23,1018320420.00,102
24,1023938200.00,0CC
25,1029556020.00,110
26,1035174140.00,03A
27,1040792700.00,170
28,1046410680.00,0B0
29,1052028480.00,100
30,1057646100.00,110
31,1063263520.00,117
32,1068880680.00,10D
33,1074498340.00,111
34,1080114800.00,106
35,1085732040.00,105
36,1091349000.00,108
37,1096966520.00,107
38,1102583580.00,11F
39,1108201520.00,104
40,1113819620.00,111
41,1119437360.00,10E
42,1125055220.00,129
43,1130673980.00,130
44,1136291700.00,11F
45,1141910120.00,0B1
46,1147527660.00,100
47,1153145240.00,10D
48,1158763260.00,114
49,1164380680.00,10E
50,1169998820.00,111
51,1175616100.00,106
52,1181234220.00,104
53,1186851360.00,108
54,1192468720.00,108
55,1198086120.00,120
56,1203704080.00,105
57,1209321880.00,113
58,1214940040.00,113
59,1220557100.00,126
60,1226174400.00,130
61,1231791820.00,11F
62,1237410080.00,0FF
63,1243028440.00,177
64,1248646440.00,101
65,1254263580.00,100
66,1259880860.00,100
67,1265498140.00,111
68,1271115580.00,0B0
69,1276733040.00,165
70,1282350220.00,0B1
71,1287967740.00,182
72,1293584900.00,0B2
73,1299202000.00,182
74,1304819040.00,0B3
75,1310436640.00,180
76,1316053640.00,0B5
77,1321671220.00,142
78,1327288320.00,0B7
79,1332905740.00,185
80,1338522800.00,0B8
81,1344140380.00,120
82,1349757700.00,0C1
83,1355375320.00,178
84,1360993220.00,0C2
85,1366610460.00,178
86,1372228000.00,0D0
87,1377845580.00,188
88,1383462320.00,0EE
89,1389079900.00,142
90,1394697080.00,0E0
91,1400312900.00,100
92,1405928500.00,100
93,1411545560.00,102
94,1417162860.00,0E1
95,1422780240.00,104
96,1428396900.00,1A0
97,1434012340.00,106
98,1439628980.00,1A0
99,1445244600.00,105
100,1450861480.00,1A0
101,1456476620.00,107
102,1462093020.00,1A0
103,1467707800.00,100
104,1473323560.00,144
105,1478939980.00,144
106,1484555840.00,0E2
107,1490172160.00,100
108,1495787540.00,100
109,1501403020.00,100
110,1507018720.00,100
111,1512634860.00,100
112,1518250400.00,100
113,1523866240.00,100
114,1529482000.00,100
115,1535097240.00,100
116,1540712700.00,100
117,1546328720.00,100
118,1551945120.00,100
119,1557561620.00,0E3
120,1563177720.00,100
121,1568793340.00,100
122,1574409560.00,122
123,1580026420.00,122
124,1585642400.00,0E4
125,1591259300.00,144
126,1596875480.00,144
127,1602492240.00,0E5
128,1608109580.00,10C
129,1613726680.00,190
130,1619343080.00,1A0
131,1624959800.00,1A0
132,1630575620.00,10E
133,1636192460.00,192
134,1641808020.00,1A0
135,1647424160.00,1A0
136,1653040060.00,108
137,1658657000.00,18C
138,1664272860.00,1A0
139,1669888860.00,1A0
